dashboard_name,widget_type
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,map/scatter
SCE Commerce - Detailed Company View v1.4.1,WidgetsTabber
SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,sankeyWidget
SCE Commerce - Detailed Company View v1.4.1,map/scatter
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,tablewidget
SCE Commerce - Detailed Company View v1.4.1,chart/line
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,chart/line
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,pivot2
SCE Commerce - Detailed Company View v1.4.1,indicator
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,chart/pie
SCE Commerce - Detailed Company View v1.4.1,chart/bar
SCE Commerce - Detailed Company View v1.4.1,tablewidget
SCE Commerce - Detailed Company View v1.4.1,indicator
simply_ask,pivot2
simply_ask,pivot2
simply_ask,pivot2
slowest_performing_assets,pivot2
solution_center_blox,BloX
Subaru,chart/line
supply _wisdom,pivot2
supply _wisdom,chart/bar
TE_A_Test,pivot2
Test FOO-13110,richtexteditor
test1_2,pivot2
Test_ec_to_live,indicator
test_flow,pivot2
test_flow (1),pivot2
test_plugin,chart/pie
Time_Series,chart/line
Time_Series,chart/line
total_expert_null,pivot2
trtr,indicator
trtr,pivot2
unused,chart/column
unused (1),chart/bar
Usage - Builds - Failures,indicator
Usage - Builds - Failures,indicator
Usage - Builds - Failures,indicator
Usage - Builds - Failures,chart/column
Usage - Builds - Failures,richtexteditor
Usage - Builds - Failures,chart/bar
Usage - Builds - Failures,pivot2
Usage - Builds - Failures,richtexteditor
Usage - Builds - Failures,tablewidget
Usage - Builds - Failures,chart/bar
Usage - Builds - Failures,pivot2
Usage - Builds - Overview,indicator
Usage - Builds - Overview,indicator
Usage - Builds - Overview,richtexteditor
Usage - Builds - Overview,indicator
Usage - Builds - Overview,richtexteditor
Usage - Builds - Overview,pivot2
Usage - Builds - Overview,chart/column
Usage - Builds - Overview,chart/column
Usage - Builds - Overview,chart/line
Usage - Builds - Overview,richtexteditor
Usage - Builds - Overview,chart/line
Usage - Builds - Overview,indicator
Usage - Builds - Overview,chart/column
Usage - Builds - Overview,richtexteditor
Usage - Builds - Overview,richtexteditor
Usage - Builds - Overview,chart/scatter
Usage - Builds - Overview,chart/bar
Usage - Builds - Overview,pivot2
Usage - Dashboards,indicator
Usage - Dashboards,indicator
Usage - Dashboards,indicator
Usage - Dashboards,pivot
Usage - Dashboards,chart/line
Usage - Dashboards,indicator
Usage - Dashboards,pivot
Usage - Dashboards,chart/line
Usage - Dashboards,indicator
Usage - Dashboards,chart/line
Usage - Domains,indicator
Usage - Domains,indicator
Usage - Domains,indicator
Usage - Domains,indicator
Usage - Domains,indicator
Usage - Domains,chart/line
Usage - Domains,indicator
Usage - Domains,pivot
Usage - Domains,pivot
Usage - Domains,chart/line
Usage - Domains,pivot
Usage - Domains,chart/line
Usage - Domains,pivot
Usage - Domains,pivot
Usage - General,indicator
Usage - General,indicator
Usage - General,indicator
Usage - General,chart/line
Usage - General,chart/line
Usage - General,pivot
Usage - General,pivot
Usage - General,chart/line
Usage - General,indicator
Usage - Groups,pivot
Usage - Groups,indicator
Usage - Groups,indicator
Usage - Groups,indicator
Usage - Groups,indicator
Usage - Groups,indicator
Usage - Groups,chart/line
Usage - Groups,chart/line
Usage - Groups,chart/line
Usage - Groups,pivot
Usage - Groups,indicator
Usage - Query,indicator
Usage - Query,indicator
Usage - Query,indicator
Usage - Query,chart/line
Usage - Query,chart/line
Usage - Query,chart/line
Usage - Query,pivot2
Usage - Query,indicator
Usage - Query,chart/line
Usage - Query,tablewidget
Usage - Query,pivot2
Usage - Query,indicator
Usage - Query,indicator
Usage - Query,treemap
Usage - Query,pivot2
Usage - Query,chart/line
Usage - Query,richtexteditor
Usage - Query,chart/line
Usage - Query,chart/line
Usage - Query,chart/line
Usage - Query,richtexteditor
Usage - Query,chart/pie
Usage - Query,indicator
Usage - Query,indicator
Usage - Query,indicator
Usage - Query,chart/column
Usage - Query,richtexteditor
Usage - Query,indicator
Usage - Query,tablewidget
Usage - Query,chart/pie
Usage - Query,richtexteditor
Usage - Query,indicator
Usage - Query,chart/line
Usage - Query,indicator
